Product,Country,Period,Adjusted Projected,In-Transit Shipments,Projected Consumption,Projected MOS,Projected Supply Plan Inventory (Inc. Intransit and Received Shipments),Received Shipments,Un-Shipped Orders,Unaccounted for Inventory Adjustments,VAN Projections,raw_Expected Requirements,raw_Monthly Inventory,raw_Prev. Monthly Consumption,raw_Projected MOS above max MOS Alert,raw_Projected MOS below min MOS Alert,raw_Projected MOS with Sugg Repl,raw_S1 - Monthly Consumption,raw_S1 - Projected Inventory,raw_S1 - Projected MOS,raw_S1 - Projected Supplies,raw_S2 - Monthly Consumption,raw_S2 - Projected Inventory,raw_S2 - Projected MOS,raw_S2 - Projected Supplies,raw_Suggested Replenishment
"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",KE,2026-02,"112,883",,"96,927",0.0,"751,662",,,,0,,"751,662","116,106",0,0,,"96,927",0,0.0,,"96,927",0,0.0,,
"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",KE,2026-03,"52,109",,"117,253",0.0,"686,518",,,,0,,"686,518","116,106",0,0,,"117,253",0,0.0,,"117,253",0,0.0,,
"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",KE,2026-04,0,,"116,106",0.0,"570,412",,,,0,,"599,580","116,106",0,0,,"116,106",0,0.0,,"116,106",0,0.0,,
"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",KE,2026-05,0,,"116,106",0.0,"454,306",,,,0,,"488,302","116,106",0,0,,"116,106",0,0.0,,"116,106",0,0.0,,
"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",KE,2026-06,0,,"116,106",3.4,"338,200",,,,"396,358",,"396,358","116,106",0,0,,"116,106","396,358",3.4,,"116,106","396,358",3.4,"928,000",
"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",KE,2026-07,0,,"118,660",2.3,"219,540",,,,"277,698",,,"118,660",0,0,,"118,660","277,698",2.3,,"118,660","277,698",2.3,,
"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",KE,2026-08,0,"1,312,000","118,660",12.4,"2,827,380",,,,"1,471,038","2,726,500",,"118,660",0,0,24.0,"118,660","159,038",1.3,,"118,660","159,038",1.3,,"1,376,802"
"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",KE,2026-09,0,,"118,660",11.4,"2,708,720",,,,"1,352,378",,,"118,660",0,0,23.0,"118,660","40,378",0.3,,"118,660","40,378",0.3,,0
"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",KE,2026-10,0,,"118,660",15.1,"2,590,060",,"560,000",,"1,793,718",,,"118,660",0,0,26.7,"118,660","481,718",4.1,"560,000","118,660",0,0.0,,0
"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",KE,2026-11,0,,"118,660",14.1,"2,471,400",,,,"1,675,058",,,"118,660",0,0,25.7,"118,660","513,058",4.3,"150,000","118,660",0,0.0,,0
"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",KE,2026-12,0,,"118,660",13.1,"2,352,740",,,,"1,556,398",,,"118,660",0,0,24.7,"118,660","948,898",8.0,"554,500","118,660",0,0.0,,0
"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",KE,2027-01,0,,"118,660",12.1,"2,234,080",,,,"1,437,738",,,"118,660",0,0,23.7,"118,660","830,238",7.0,0,"118,660",0,0.0,,0
"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",KE,2027-02,0,,"118,660",11.1,"2,847,820",,,,"1,319,078","732,400",,"118,660",0,0,22.7,"118,660","1,443,978",12.2,"732,400","118,660",0,0.0,,0
