Country Name,Supply Plan Bucket Description,L5 - Product,Review Status - Inventory,Review Status - Supply Plan,DataMeasure,Period,Value
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2026-02,411069.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2026-03,408168.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2026-04,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2026-05,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2026-06,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2026-07,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2026-08,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2026-09,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2026-10,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2026-11,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2026-12,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2027-01,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2027-02,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2027-03,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2027-04,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2027-05,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2027-06,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2027-07,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2027-08,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2027-09,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2027-10,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2027-11,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2027-12,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2028-01,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2028-02,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2028-03,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2028-04,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2028-05,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2028-06,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2028-07,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Monthly Consumption,2028-08,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2026-02,411069.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2026-03,408168.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2026-04,366323.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2026-05,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2026-06,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2026-07,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2026-08,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2026-09,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2026-10,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2026-11,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2026-12,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2027-01,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2027-02,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2027-03,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2027-04,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2027-05,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2027-06,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2027-07,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2027-08,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2027-09,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2027-10,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2027-11,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2027-12,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2028-01,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2028-02,379238.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Prev. Monthly Consumption,2028-03,379238.0
