Country Name,Supply Plan Bucket Description,L5 - Product,DataMeasure,Period,Value
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Monthly Consumption,2026-02,358763.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Monthly Consumption,2026-03,361323.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Monthly Consumption,2026-04,363883.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Monthly Consumption,2026-05,366449.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Monthly Consumption,2026-06,369028.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Monthly Consumption,2026-07,371624.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Monthly Consumption,2026-08,374244.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Monthly Consumption,2026-09,376893.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Monthly Consumption,2026-10,379577.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Monthly Consumption,2026-11,382300.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Monthly Consumption,2026-12,385069.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Monthly Consumption,2027-01,392637.0
